StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q112,Q72,Q92_1,Q96_1,Q1724,Q1725,Q1726_1,Q1726_2,Q1726_3,Q1726_4,Q1726_5,Q1726_6,Q1727,Q1728,Q1729,Q1730,Q1757,Q1758,Q1759_1,Q1759_2,Q1759_3,Q1759_4,Q1759_5,Q1759_6,Q1760,Q1761,Q1762,Q1763,Q1787,Q1788,Q1789_1,Q1789_2,Q1789_3,Q1789_4,Q1789_5,Q1789_6,Q1790,Q1791,Q1792,Q1793,Q1817,Q1818,Q1819_1,Q1819_2,Q1819_3,Q1819_4,Q1819_5,Q1819_6,Q1820,Q1821,Q1822,Q1823,Q1861,Q1862,Q867,Q1734,Q1735,Q1736_1,Q1736_2,Q1736_3,Q1736_4,Q1736_5,Q1736_6,Q1737,Q1738,Q1739,Q1740,Q1767,Q1768,Q1769_1,Q1769_2,Q1769_3,Q1769_4,Q1769_5,Q1769_6,Q1770,Q1771,Q1772,Q1773,Q1797,Q1798,Q1799_1,Q1799_2,Q1799_3,Q1799_4,Q1799_5,Q1799_6,Q1800,Q1801,Q1802,Q1803,Q1827,Q1828,Q1829_1,Q1829_2,Q1829_3,Q1829_4,Q1829_5,Q1829_6,Q1830,Q1831,Q1832,Q1833,Q1744,Q1745,Q1746_1,Q1746_2,Q1746_3,Q1746_4,Q1746_5,Q1746_6,Q1747,Q1748,Q1749,Q1750,Q1777,Q1778,Q1779_1,Q1779_2,Q1779_3,Q1779_4,Q1779_5,Q1779_6,Q1780,Q1781,Q1782,Q1783,Q1807,Q1808,Q1809_1,Q1809_2,Q1809_3,Q1809_4,Q1809_5,Q1809_6,Q1810,Q1811,Q1812,Q1813,Q1837,Q1838,Q1839_1,Q1839_2,Q1839_3,Q1839_4,Q1839_5,Q1839_6,Q1840,Q1841,Q1842,Q1843,Q1684,Q1685,Q1686_1,Q1686_2,Q1686_3,Q1686_4,Q1686_5,Q1686_6,Q1687,Q1688,Q1689,Q1690,Q1694,Q1695,Q1696_1,Q1696_2,Q1696_3,Q1696_4,Q1696_5,Q1696_6,Q1697,Q1698,Q1699,Q1700,Q1704,Q1705,Q1706_1,Q1706_2,Q1706_3,Q1706_4,Q1706_5,Q1706_6,Q1707,Q1708,Q1709,Q1710,Q1714,Q1715,Q1716_1,Q1716_2,Q1716_3,Q1716_4,Q1716_5,Q1716_6,Q1717,Q1718,Q1719,Q1720,Q98,Q1644,Q1645,Q1646_1,Q1646_2,Q1646_3,Q1646_4,Q1646_5,Q1646_6,Q1647,Q1648,Q1649,Q1650,Q1654,Q1655,Q1656_1,Q1656_2,Q1656_3,Q1656_4,Q1656_5,Q1656_6,Q1657,Q1658,Q1659,Q1660,Q1664,Q1665,Q1666_1,Q1666_2,Q1666_3,Q1666_4,Q1666_5,Q1666_6,Q1667,Q1668,Q1669,Q1670,Q1674,Q1675,Q1676_1,Q1676_2,Q1676_3,Q1676_4,Q1676_5,Q1676_6,Q1677,Q1678,Q1679,Q1680,Q69,Q67,Q64,Q69 2,Q73,type,task,Enter Embedded Data Field Name Here...
8/1/17 8:35,8/1/17 8:37,0,68.14.245.66,100,114,1,8/1/17 8:37,R_1Pcwm8LRntnz8O2,,,,,32.26860046,-111.0021973,anonymous,EN,A3HBMPB74FWI1,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,6,It should be a fair process,6,3,3,6,1,4,it is something he should trust in,5,I believe algorithms will change the future ,1,,,,,,,,,,,,,1,The algorithm helps tor narrow it down,specific set of circumstances to accomplish a goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,2,3,1,2,3,
8/1/17 8:35,8/1/17 8:37,0,68.45.23.24,100,149,1,8/1/17 8:37,R_3L0Sl7oLDltJzvg,,,,,39.08360291,-86.43209839,anonymous,EN,A2YTOX7SEDJ1TC,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They take statistics and come up with the best option based on previous items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"It is a computer selecting it, so I think it is fair",1,1,1,4,2,6,I think Chris would think it is probably unfair if he is not chosen,4,It makes unbiased analysis since it is a computer,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,1,4,1,1,3,
8/1/17 8:34,8/1/17 8:37,0,73.163.114.108,100,174,1,8/1/17 8:37,R_20VF6pwA03yRy8y,,,,,39.61720276,-75.86779785,anonymous,EN,A394S7JSNUA3TS,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,7,The manager is considering everyone when making this decision.,6,5,5,3,2,2,There is no reason for him to be mad when the process is fair.,6,A good manager should always be able to make a good work schedule.,1,,,,,,,,,,,,,,,,,,,,,,,,,2,27,2,3,1,5,2,
8/1/17 8:36,8/1/17 8:38,0,76.73.246.22,100,142,1,8/1/17 8:38,R_UQHB0o3ZaglnUEF,,,,,32.80099487,-79.99690247,anonymous,EN,A1HWI4N1RJGKYY,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algorithms are sets of rules followed by computers to make decisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,The algorithm might not take in other factors that prevent Chris from working in the mornings.,4,3,3,4,3,4,I don't think he would be overly pleased or upset by this.,4,It would have to be proven for me to trust it,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,2,5,1,1,2,
8/1/17 8:35,8/1/17 8:38,0,184.74.184.170,100,208,1,8/1/17 8:38,R_Wj7s9H6DIvsAR57,,,,,40.67019653,-73.89440155,anonymous,EN,A2KOECHP94T0TI,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"The algorithm is a computer program used to make the schedule, but the manager has the ability to make changes to both the algorithm and the schedule as needed.",Computer based programs that are standardized and used to organize/run things to make tasks and situations easier for humans.,,,,,,,,,,,,,6,"The algorithm used objective facts without taking into account any ""personal"" feelings",4,4,4,3,2,3,"If Chris knows that he was scheduled by an algorithm, then he should not have any ""hard feelings"" towards the manager or the situation",5,"The algorithm has been proven to make good decisions, but there is always the ability of the manager to make the necessary changes in the event that they are requested and/or needed. ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,1,5,1,3,2,
8/1/17 8:34,8/1/17 8:38,0,69.251.163.189,100,216,1,8/1/17 8:38,R_3shs3FzAS6bd5LA,,,,,39.34049988,-76.49620056,anonymous,EN,AFUGKPIYU3OM0,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,the manager analyzed the importance of the parts and the algorithm analyzed its breakdown frequency.  Based on both these inputs the algorithm assigned personnel appropriately.,Computer programs that take inputs and produce outputs or decisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,It's not a question of fairness but rather automation.  Chris has input into the decision too.,4,4,4,2,2,3,I think he's just doinghis job so emotion doesn't play into the situation very much.,5,Expert systems like that are usually well researched and programmed.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,41,2,6,1,4,1,
8/1/17 8:34,8/1/17 8:38,0,99.122.185.74,100,231,1,8/1/17 8:38,R_3hayIY14dQHLnBe,,,,,34.00169373,-84.47100067,anonymous,EN,A3N7MZOSXM4JHR,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,6,Its a part of the job Chris agreed to when he entered employment.  The hours are not chosen in a manner which is bias but pro-business,5,5,4,4,2,2,Now that Chris works mornings he can do errands and go out with friends in the evening,6,He was hired because of his skills in the job (or I assume so),1,,,,,,,,,,,,,,,,,,,,,,,,,2,23,1,5,7,5,2,
8/1/17 8:36,8/1/17 8:38,0,209.212.21.182,100,150,1,8/1/17 8:39,R_bJzQvbtuCLVFBAt,,,,,40.07209778,-74.20690155,anonymous,EN,A3MF45BRXO6WQ6,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,The manager and algorithm both analyzed the employee's calls but the algorithm made the final choice.,Algorithms are computer codes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,The manager does not evaluate Chris only the algorithm does.,2,2,2,5,5,6,Chris would feel cheated.,3,Algorithms are not perfect.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,2,6,4,4,4,
8/1/17 8:35,8/1/17 8:39,0,98.242.240.101,100,215,1,8/1/17 8:39,R_qPXDbhxr5rWEPnP,,,,,25.60319519,-80.33470154,anonymous,EN,A32UE0WDFAUWBE,"1,2",3,6,5,The algorithm seems to do its job and work accurately.,4,2,4,1,1,1,It is difficult to determine Chris feelings.,5,seems to be trustworthy.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Manager assigned someone to use the algorithm to check things about the factory.,basically a set of rules and formulas to determine different data sets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,2,5,1,2,1,
8/1/17 8:35,8/1/17 8:39,0,75.118.240.226,100,235,1,8/1/17 8:39,R_296Q8NMZeoVPVl2,,,,,42.5052948,-83.10520172,anonymous,EN,AB5976B6VKZYC,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,He is doing his job and is a part of the process to check a specific component and do work on it. ,4,3,4,5,3,4,I think he might be bored of his job and somewhat disappointed he is at work. Most of his feelings would be in check tho. He is just going about his day.,5,There is nothing to indicate I should not trust the manager in the scenario. ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,1,5,1,5,1,
