emotion,ID,task,decision maker,HitL mc,MC Human OR,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
4.0,R_2w0PXalk3oXv2ah,2,5,5,0,0.0,0.0,5,"That's part of the manager's job, so that's what I would expect. It would be most fair to ask employees about their preferences, though.",4,4,4,5,2,5,"He may not always like his schedule, but that happens in life.",5,I have information to the contrary.,2,37,1,8,1,0
4.5,R_2TuCljOJOo7Pm7a,4,5,5,0,0.0,0.0,6,"Presumably, Chris took the job as customer service knowing that calls could be screened for quality purposes.",4,2,6,3,2,4,"If Chris does a good job, he should feel proud of his work being sampled.",4,"I'm not sure, but I would hope the manager makes good quality evaluations.",2,29,2,3,1,0
1.0,R_2U3mM0GT62FbRlP,3,3,3,algorithm picked applicants that the manager should interview,0.0,0.0,3,"I feel like sometimes there can be problems with technology and if it what he had on his resume wasn't exact, then it wouldn't give him a fair chance",1,1,1,7,7,7,He wouldn't feel as if he had a fair chance,4,It's a hit or a miss,1,22,1,5,1,patterns or certain things the computer filters and searches for to narrow the search and get an accurate result of exactly what you're looking for
4.0,R_2qDlU71A1Q9D8xW,2,1,1,0,0.0,0.0,3,Scheduling in some instances needs human intervention for people that cant work certain shifts for example,4,4,4,4,4,4,It is not possible to know if Chris would be happy or any of these feelings without more information.,3,An algorithm won't know little things about the employees that a supervisor would,1,41,1,1,1,A program that takes certain facts to make judgments about situations.
3.3333333333333335,R_rqDSjsteJyqlRzb,3,2,3,"The algorithm processes and analyzes the resumes, picks the top ones, then the manager decides from there who to choose. ",0.0,0.0,5,The algorithm is based off of analyzation of peoples resumes. ,4,3,4,5,5,5,I'm sure he's not thrilled that a human isn't judging him. ,5,I'm sure the manager will use the results in a positive manner.,2,33,2,5,1,Computer generated analyzations. 
4.333333333333333,R_6GtcM34s8rOx0U9,4,4,3,It was needed by both to evaluate the performance of Chris,0.0,0.0,5,It works for Chris and is fair,4,5,4,3,4,4,It's hard to know how Chris would feel,5,It could work ,2,31,2,5,4,They are computations that help solve problems
2.3333333333333335,R_2B2PC0SoER4mMrd,4,1,1,0,0.0,0.0,3,I believe this system is likely set up to make performance reviews very difficult.,2,2,3,6,5,6,This is how I would feel in his shoes. ,2,Most automated systems make things harder than they would be without them.,1,26,1,3,2,Computer based calculations on an employees performance based on the call content and customer tones.
4.666666666666667,R_zegyxC43loc5KWR,2,5,5,0,0.0,0.0,6,It's the manager duty to schedule based on availability and customer volume. ,6,2,4,3,3,2,Mornings are good because Chris can relax at night and plan outings at night. ,5,The manager is competent enough,2,22,2,5,4,0
3.6666666666666665,R_3FRKTkFB7DkN4xx,1,3,3,Chris was an employee. An algorithm determined what areas needed to be fixed/checked and a manger oversaw that the algorithm was working fine.,0.0,0.0,7,Algorithms aren't punishment. It's just a formula for spotting problems which is adjusted by the manager to ensure it's working and efficient. Everything is fair about it.,1,1,1,2,1,2,I think he wouldn't feel much. He'd almost be ambivalent. It's just his job to do the task. ,6,It's an algorithm so it's not flawless. It's constantly being adjusted to fit the needs of the factory. But it's being monitored by a human manger to make sure it's doing it's job so I have trust in it. ,1,44,2,5,1,Computer programs that handle lots of data to make efficient determinations. 
4.166666666666667,R_Rh73RXFtNyIFvZn,1,1,1,0,0.0,0.0,6,Because it seems like it would be more accurate than a human.,4,2,1,2,2,2,Because he would have no feelings or negative feelings about a computer because it would not benefit him that much.,6,Because it is set by rules that never change.,1,32,2,4,3,Programs that run based on a specific set of rules programmed by a human.
4.5,R_3MhVTeXrOSRPQdU,2,4,3,One was watching performance and another was watching how busy the shop was during which hours. Managerial input added to statistical input.,0.0,0.0,6,Seems like a logical way to come to a conclusion that would be good for business.,4,4,1,2,2,2,I don't really think it would cause any conflict or happiness. It would just be how it is done.,6,It seems like you would have a good amount of data to make the scheduling decisions. ,2,58,1,4,1,Mathematical patterns that you can see. 
2.0,R_1hDO11q4p8FVmeV,3,2,1,The manage is looking for someone to hire for a job. The resumes and applications are fed into a computer and the algorithm selects which candidates are the top level ones. The manager then selects which ones he will interview.,1.0,0.0,3,"Chris may be qualified for the job, but just may not have the keywords in his resume for which the algorithm is searching. He deserves to have someone read his resume and evaluate it, not a computer.",2,2,2,6,5,7,I think Chris would feel like he wasn't given a fair chance if he wasn't selected for the interview.,7,It seems like the manager is not looking at the resumes himself. It seems as if he is only letting the computer do the work.,1,35,1,5,1,They are a set of rules a computer uses to make decisions.
3.6666666666666665,R_3hlTG3CABbNR4qU,2,3,3,The algorithm analyzes customer load to make scheduling recommendations for the manager to follow,0.0,0.0,3,Because he may not get the hours/shifts he needs,4,3,2,3,4,4,Very hard to argue your case to an algorithm,2,Because years of retail has shown me that customers are unpredictable,1,32,1,6,1,Predictions based upon data and data analysis
4.666666666666667,R_3fjUHlOpoggYFgz,4,2,1,The manager relies on the algoritm to make evaluations ,1.0,0.0,6,Algorithms ensure that the evaluation is objective,6,5,5,3,4,5,I feel he would not be disappointed that the manager is using a new and more objective system for evaluations,6,"Although it lacks a human element, and is prone to certain errors, algorithms are generally trustworthy",3,21,1,3,1,A set of steps or rules outlining a process to follow
