emotion,ID,task,decision maker,HitL mc,MC Human OR,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
5.5,R_2EyNKMLKyPLfmQi,1,3,3.0,manager made a algorithm to measure performance,0.0,0.0,7.0,its a algorithm that is legitimate and is fair,6,6,6,3,3,3,he should feel fine about it,6.0,its fair and balanced,1,33,1,2,1,they show efficiency
7.0,R_2tmpAHVtqUm4ItE,4,3,3.0,The manager does the job and algorithm is part of the call center ,0.0,0.0,4.0,Everybody needs to perform their jobs properly,7,7,7,1,1,1,Chris want to do his best in his job.,6.0,They show how to do the job properly,3,43,2,5,1,They help guide managers through work 
5.5,R_4N4Eg3icUSkIWSR,3,5,5.0,0,0.0,0.0,5.0,it fair because he don't want to wast his time,5,6,7,3,2,4,he would be happy because he is saving time,7.0,i always do my best,3,54,2,6,2,0
3.6666666666666665,R_2eQY0VZy1sjhMOI,4,5,5.0,0,0.0,0.0,6.0,it is fair as long as Chris knows this could happen,3,3,4,4,4,4,I am sure he would be nervous but not happy or joyful.,6.0,I have no reason to think the manager would lie,1,40,2,6,1,0
3.0,R_2v6ctH0drDbt4bH,4,1,1.0,0,0.0,0.0,5.0,"I think it's really interesting but I could see it failing. if it worked out well though, I think it's fair because that's their job",3,3,3,5,5,5,I don't think he would like it very much. I think it would make him feel like hes walking on egg shells,4.0,I think it would be good but technology sometimes fails,2,22,1,2,1,Computers that analyze different things
4.166666666666667,R_2BnEymQR0PI833H,4,5,5.0,0,0.0,1.0,4.0,I have no opinion,4,4,4,3,5,3,I have no opinion,4.0,Not sure,1,34,2,5,1,0
6.0,R_1eFgOR3iKKsdlt7,3,1,1.0,0,0.0,0.0,5.0,I think that the algorithm will be fair and objective ,6,6,6,2,2,2,"i think no matter what the selection process, he can trust that it will be fair whether he gets it or not ",5.0,computers will always be fair ,3,24,1,5,1,I think it's a computer program that's set to run and make decisions
6.166666666666667,R_DBK1fWF8tS2lcSl,1,1,1.0,0,0.0,1.0,7.0,Because algorithm is a very accurate way of predicting the possibility of something happening.,7,6,5,2,2,1,He should be glad that there is an effective system that can help him doing his maintenance job.,7.0,Because the algorithm is based on historically statistics and it should be very accurate.,2,24,2,5,4,Algorithms are a series or system that computer can use to make something easier to be manageable.
3.0,R_3fUFDzZiepDOUkl,1,4,3.0,They both analyzed the different components of the process and made a decision on what Chris should be doing,0.0,0.0,6.0,"The algorithm uses information from a human as well as itself, this is the most efficient way to make decisions",2,3,4,4,5,6,Chris would feel annoyed that a machine is telling him what to do,6.0,The algorithm has all of the necessary information to succeed,2,19,2,3,1,A set of rules and processes for solving a problem
5.0,R_sLoa1psG8EyXefL,4,5,1.0,0,1.0,0.0,6.0,its the managers job,4,4,4,4,1,1,"its part of the job, suck it up and be a man",5.0,I dont know the manager,2,52,2,4,1,0
5.0,R_2woQyw9IPsleiz2,1,5,5.0,0,0.0,0.0,6.0,It is fair because he is the boss.,5,5,5,3,3,3,He is probably happy it is his job.,6.0,It takes some trust in the boss.,1,43,1,3,1,0
3.5,R_DvqWs68t5U2ZmoN,2,5,5.0,0,0.0,0.0,7.0,Part of employment is being available when your employer needs you to be.,2,2,1,3,2,3,"He's an employee. Given I have no information that would lead me to feel otherwise, being scheduled for a shift is a normal occurrence, and he probably wouldn't feel anything about it.",5.0,"People become managers by having at least some experience either the workings of the business they manage or with managing a team, he should know what he's doing.",3,25,2,5,1,0
4.166666666666667,R_D30wL8jrl8i7Ctb,2,3,3.0,"The algorithm sets schedules, and a human manager approves them. ",0.0,0.0,5.0,"The algorithm is by definition impartial and objective, but it might not understand the nuance of schedule setting, which is why the human oversight is important.",4,2,2,3,2,2,It's just a schedule-setting system -- I imagine he'd be happy to get hours at all. ,5.0,"Again, its an objective/impartial system with human oversight. It can make mistakes, but at least they won't be from subjective bias. ",2,30,2,6,1,Algorithms are mathematical formula which use defined variables to create a solution. 
3.1666666666666665,R_3GlfmEFK4wXvihx,4,4,3.0,The manager and the algorithm both listened to the call recordings but the algorithm determined the performance appraisal.  ,0.0,0.0,2.0,An algorithm can't take every factor into account. ,3,4,5,6,5,6,I think if I was Chris I would be weary of how the algorithm scored me.  ,4.0,I think you need that human factor when determining how well someone is doing their job.  ,2,33,2,5,1,A set of rigid rules a computer follows to make a decision. 
3.3333333333333335,R_31ZO8PWGd79OEL6,3,4,3.0,The manager and both the algorithm made a decision in the hiring process but the algorithm chose the top candidates.,0.0,0.0,3.0,I think the algorithm doesn't understand or measure intangible qualities of potential candidates for the job.,3,3,3,5,3,5,I think an algorithm rather then a manager making such an important choice would be frustrating and annoying if I were in his place as well.,3.0,There are things that can be missed in an algorithm measurement versus just a manager decision.,2,41,2,5,4,I think they are step by step processes for solving a problem
5.833333333333333,R_3PSn5KSv8asjImB,3,1,1.0,0,0.0,0.0,5.0,Algorithms are objective and the standard criteria they use is fair for this stage in the hiring process to select the best candidates. Interviews by humans thereafter would be used for judging other attributes.,6,6,6,2,2,3,Chris understands that his achievements have value and this is being recognized.,5.0,"They are using a set of objective criteria, and will most like perform their task efficiently and effectively.",2,37,1,5,1,Rules and processes followed by a computer/artificial intelligence to arrive at a conclusion.
4.833333333333333,R_3MikZt3lJr64IOB,4,2,3.0,The algorithm screens the calls based off of tone and customer feedback. The manager uses the algorithm to evaluate performance. ,0.0,0.0,7.0,"The algorithm is looking for something specific. Seems fair that if they find it, they look into it. ",4,4,5,4,2,2,"As long as he has been doing the job that he is supposed to be doing, Chris shouldn't be concerned with the evaluation. ",5.0,"The manager will have to make the decision based off of the algorithm. That is completely based on the manager, the algorithm just gives the information. ",2,28,2,5,1,"A set of parameters that when met, flags the item for whatever they are. For instance, if I had an algorithm that would flag all numbers not able to be divided by two, it should flag all the odd numbers. "
3.1666666666666665,R_2TGiwBKxy5ICL3Y,2,1,1.0,0,0.0,0.0,3.0,he has no personal option,4,4,2,5,5,5,he is discouraged with his shift,3.0,it takes out the human quality,1,31,1,4,1,algorithms are processes that make decisions statistically
6.0,R_3FJ7HRh8lPvLoka,1,2,3.0,The algorithm tracks breakdown history and the manager assigns employees to check these areas more often because of the likelyhood of breakdown. ,0.0,0.0,7.0,The algorithm evaluates the importants of the componet to the factory and the breakdown history. ,6,5,6,2,1,2,Chris shouldnt have negative feelings because the work is based on factual experience history. ,6.0,Once again the algorithm offers facts. ,1,31,1,3,1,Algorithms are tracked patterns. 
6.0,R_3M68ppskicvmPT2,3,2,3.0,The algorithm picks the most qualified applicants and then the manager chooses from them,0.0,0.0,7.0,The algorithm picks the most qualified people making it very fair,6,6,6,2,2,2,the algorithm is fair which should make him happy,6.0,It's the managers job to make the best decisions for the company,1,25,1,3,1,A computerized calculation
